Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC)
NOT TAGGED,!12811ADFG01,AK,ADFG,H,ELMENDORF,1980,CROOKED CR 244-30,,CHINOOK,SMOLT       ,16.17,,1981,COVE CR 224-10,6/22/1981,0,109850,,2,NO MARK,,,,
NOT TAGGED,!12822ADFG19,AK,ADFG,H,ELMENDORF,1980,BEAR CR 231-30,,COHO,FINGERLING  ,18.9,,1982,COVE CR 224-10,5/27/1982,0,9750,,2,NO MARK,,,,
NOT TAGGED,!12812ADFG52,AK,ADFG,H,FORT RICHARDSON,1980,SEWARD LAGOON,,COHO,PRESMOLT    ,20.3,,1981,PASSAGE CANAL 224-10,6/11/1981,0,63333,,2,NO MARK,,,,
TAGGED,42037,AK,ADFG,H,FORT RICHARDSON,1980,BEAR CR 231-30,,COHO,,6.47,,1981,PASSAGE CANAL 224-10,6/1/1981,25876,109898,,2,AD,,,,
NOT TAGGED,!12814ADFG14,AK,ADFG,H,GULKANA,1980,GULKANA,,SOCKEYE,EMERGENT FRY,0.15,,1981,PAXSON LK 212-20,6/4/1981,0,3388682,,2,NO MARK,,,,
NOT TAGGED,!12814ADFG15,AK,ADFG,H,GULKANA,1980,GULKANA,,SOCKEYE,EMERGENT FRY,0.15,,1981,SUMMIT LK 212-20,6/4/1981,0,1860491,,2,NO MARK,,,,
TAGGED,311603,AK,ADFG,H,GULKANA,1980,,,SOCKEYE,,,95,1982,SUMMIT LK 212-20,6/1/1982,14110,48969,,2,AD,,,,
TAGGED,311604,AK,ADFG,H,GULKANA,1980,,,SOCKEYE,,,95,1982,SUMMIT LK 212-20,6/1/1982,6145,10166,,2,AD,,,,
NOT TAGGED,!12815PWSA01,AK,PWSA,H,A F KOERNIG,1980,A F KOERNIG,,CHUM,FED FRY     ,0.7,40,1981,PORT SAN JUAN 226-40,5/27/1981,0,745668,,2,NO MARK,,,,
NOT TAGGED,!12816PWSA02,AK,PWSA,H,A F KOERNIG,1980,A F KOERNIG,,PINK,EMERGENT FRY,0.34,,1981,MAIN BAY 225-20,5/6/1981,0,2752000,,2,NO MARK,,,,
NOT TAGGED,!12816PWSA01,AK,PWSA,H,A F KOERNIG,1980,A F KOERNIG,,PINK,EMERGENT FRY,0.34,31,1981,PORT SAN JUAN 226-40,5/27/1981,0,69662000,,2,NO MARK,,,,
NOT TAGGED,!12816PWSA03,AK,PWSA,H,A F KOERNIG,1980,A F KOERNIG,,PINK,EMERGENT FRY,0.34,,1981,PORT SAN JUAN 226-40,5/27/1981,0,124000,,2,NO MARK,,,,
TAGGED,311615,AK,ADFG,M,(M) GULKANA R,1981,GULKANA R,,SOCKEYE,,,85,1983,SUMMIT LK 212-20,6/1/1983,19986,77391,C,2,AD,,,,
NOT TAGGED,!12825ADFG01,AK,ADFG,H,CANNERY CREEK,1981,SIWASH BAY CR 222-20,,CHUM,FED FRY     ,0.33,,1982,CANNERY CR 222-50,6/10/1982,0,866890,,2,NO MARK,,,,
NOT TAGGED,!12826ADFG01,AK,ADFG,H,CANNERY CREEK,1981,CANNERY CR,,PINK,FED FRY     ,0.22,,1982,CANNERY CR 222-50,6/4/1982,0,13932987,,2,NO MARK,,,,
NOT TAGGED,!12826ADFG03,AK,ADFG,H,CANNERY CREEK,1981,A F KOERNIG,,PINK,FED FRY     ,0.21,,1982,MAIN BAY 225-20,5/24/1982,0,30154417,,2,NO MARK,,,,
NOT TAGGED,!12826ADFG02,AK,ADFG,H,CANNERY CREEK,1981,A F KOERNIG,,PINK,FED FRY     ,0.23,,1982,MAIN BAY 225-20,5/12/1982,0,3546144,,2,AD+RV,,,,
TAGGED,311612,AK,ADFG,H,ELMENDORF,1981,BEAR CR 231-30,,COHO,,19.98,,1983,PASSAGE CANAL 224-10,5/1/1983,17038,93235,,2,AD,,,,
NOT TAGGED,!12824ADFG14,AK,ADFG,H,GULKANA,1981,GULKANA R,,SOCKEYE,FED FRY     ,0.16,,1982,PAXSON LK 212-20,6/29/1982,0,5985270,,2,NO MARK,,,,
NOT TAGGED,!12824ADFG15,AK,ADFG,H,GULKANA,1981,GULKANA R,,SOCKEYE,FED FRY     ,0.16,,1982,SUMMIT LK 212-20,6/9/1982,0,2047947,,2,NO MARK,,,,
NOT TAGGED,!12825PWSA01,AK,PWSA,H,A F KOERNIG,1981,A F KOERNIG,,CHUM,FED FRY     ,0.33,36,1982,PORT SAN JUAN 226-40,6/14/1982,0,7294000,,2,NO MARK,,,,
NOT TAGGED,!12825PWSA02,AK,PWSA,H,A F KOERNIG,1981,A F KOERNIG,,CHUM,EMERGENT FRY,0.33,,1982,PORT SAN JUAN 226-40,6/18/1982,0,322000,,2,NO MARK,,,,
NOT TAGGED,!12826PWSA01,AK,PWSA,H,A F KOERNIG,1981,A F KOERNIG,,PINK,EMERGENT FRY,0.21,31,1982,PORT SAN JUAN 226-40,5/14/1982,0,4000000,,2,NO MARK,,,,
NOT TAGGED,!12826PWSA02,AK,PWSA,H,A F KOERNIG,1981,A F KOERNIG,,PINK,FED FRY     ,0.24,34,1982,PORT SAN JUAN 226-40,5/15/1982,0,66118000,,2,NO MARK,,,,
NOT TAGGED,!12825VFDA01,AK,VFDA,H,SOLOMON GULCH,1981,CROOKED CR 221-60,,CHUM,FED FRY     ,0.64,44,1982,SOLOMON GULCH 221-60,6/1/1982,0,400000,,2,NO MARK,,,,
NOT TAGGED,!12826VFDA01,AK,VFDA,H,SOLOMON GULCH,1981,SIWASH CR 221-60,,PINK,EMERGENT FRY,0.25,34,1982,CROOKED CR 221-60,4/5/1982,0,500000,,2,NO MARK,,,,
NOT TAGGED,!12826VFDA02,AK,VFDA,H,SOLOMON GULCH,1981,SIWASH CR 221-60,,PINK,FED FRY     ,0.5,40,1982,SOLOMON GULCH 221-60,5/2/1982,0,7400000,,2,NO MARK,,,,
TAGGED,311617,AK,ADFG,M,(M) GULKANA R,1982,GULKANA R,,SOCKEYE,,,,1984,SUMMIT LK 212-20,6/1/1984,19240,371325,C,2,AD,,,,
NOT TAGGED,!12832ADFG02,AK,ADFG,H,CANNERY CREEK,1982,MILE 18 CR 212-10,,COHO,FED FRY     ,0.32,,1983,CULROSS LK 224-30 (B),6/30/1983,0,95130,,2,NO MARK,,,,
NOT TAGGED,!12832ADFG01,AK,ADFG,H,CANNERY CREEK,1982,MILE 18 CR 212-10,,COHO,FED FRY     ,0.31,,1983,MILE 18 CR 212-10,6/24/1983,0,57003,,2,NO MARK,,,,
NOT TAGGED,!12832ADFG03,AK,ADFG,H,CANNERY CREEK,1982,MILE 18 CR 212-10,,COHO,FED FRY     ,0.32,,1983,OTTER LK 226-30,6/30/1983,0,29253,,2,NO MARK,,,,
NOT TAGGED,!12836ADFG02,AK,ADFG,H,CANNERY CREEK,1982,CANNERY CR,,PINK,EMERGENT FRY,0.22,,1983,CANNERY CR 222-50,6/7/1983,0,22062542,,2,NO MARK,,,,
