Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC)
NOT TAGGED,!12862ADFG25,AK,ADFG,H,FORT RICHARDSON,1984,MILE 18 CR 212-10,,COHO,SMOLT       ,26,,1986,FLEMING SPIT 221-10,5/17/1986,0,44470,,2,NO MARK,,,,
NOT TAGGED,!12852ADFG31,AK,ADFG,H,FORT RICHARDSON,1984,MILE 18 CR 212-10,,COHO,FINGERLING  ,4.04,,1985,MILE 18 CR 212-10,6/10/1985,0,20512,,2,NO MARK,,,,
NOT TAGGED,!12852ADFG33,AK,ADFG,H,FORT RICHARDSON,1984,MILE 18 CR 212-10,,COHO,FINGERLING  ,4.1,,1985,SURPRISE LK#1 224-10 (B),6/27/1985,0,77000,,2,NO MARK,,,,
NOT TAGGED,!12852ADFG34,AK,ADFG,H,FORT RICHARDSON,1984,MILE 18 CR 212-10,,COHO,FINGERLING  ,4.5,,1985,SURPRISE LK#2 224-10 (B),7/5/1985,0,66646,,2,NO MARK,,,,
NOT TAGGED,!12854ADFG10,AK,ADFG,H,GULKANA,1984,GULKANA,,SOCKEYE,EMERGENT FRY,0.16,,1985,CROSSWIND LK 212-20,6/19/1985,0,1290000,,2,NO MARK,,,,
NOT TAGGED,!12854ADFG11,AK,ADFG,H,GULKANA,1984,GULKANA,,SOCKEYE,EMERGENT FRY,0.16,,1985,PAXSON LK 212-20,7/16/1985,0,9245742,,2,NO MARK,,,,
NOT TAGGED,!12854ADFG12,AK,ADFG,H,GULKANA,1984,GULKANA,,SOCKEYE,EMERGENT FRY,0.16,,1985,SUMMIT LK 212-20,6/25/1985,0,8451711,,2,NO MARK,,,,
NOT TAGGED,!12855ADFG06,AK,ADFG,H,MAIN BAY,1984,WELLS R 222-20,,CHUM,FED FRY     ,0.47,,1985,MAIN BAY 225-20,5/17/1985,0,19394961,,2,NO MARK,,,,
TAGGED,B40503,AK,ADFG,H,MAIN BAY,1984,WELLS R 222-20,,CHUM,,0.84,,1985,MAIN BAY 225-20,5/1/1985,64467,3197185,,2,AD,,,,
TAGGED,B40502,AK,ADFG,H,MAIN BAY,1984,WELLS R 222-20,,CHUM,,0.89,,1985,MAIN BAY 225-20,4/1/1985,19850,1000001,,2,AD,,,,RELEASE NUMBER IMPRECISE
NOT TAGGED,!12856ADFG07,AK,ADFG,H,MAIN BAY,1984,CANNERY CR,,PINK,FINGERLING  ,0.2,,1985,MAIN BAY 225-20,5/2/1985,0,29286498,,2,NO MARK,,,,
NOT TAGGED,!12855PWSA01,AK,PWSA,H,A F KOERNIG,1984,A F KOERNIG,,CHUM,FED FRY     ,0.32,37,1985,PORT SAN JUAN 226-40,6/21/1985,0,10944308,,2,NO MARK,,,,
NOT TAGGED,!12856PWSA02,AK,PWSA,H,A F KOERNIG,1984,A F KOERNIG,,PINK,EMERGENT FRY,0.23,32,1985,PORT SAN JUAN 226-40,6/4/1985,0,6178000,,2,NO MARK,,,,
NOT TAGGED,!12856PWSA01,AK,PWSA,H,A F KOERNIG,1984,A F KOERNIG,,PINK,FED FRY     ,0.25,34,1985,PORT SAN JUAN 226-40,6/4/1985,0,97353000,,2,NO MARK,,,,
NOT TAGGED,!12855PWSA02,AK,PWSA,H,WALLY NOERENBERG,1984,WELLS R 222-20,,CHUM,FED FRY     ,0.36,38,1985,LAKE BAY 223-40,5/9/1985,0,12466732,,2,NO MARK,,,,
NOT TAGGED,!12862PWSA01,AK,PWSA,H,WALLY NOERENBERG,1984,EYAK LK+MILE 18,,COHO,SMOLT       ,30.31,,1986,LAKE BAY 223-40,6/18/1986,0,98778,,2,NO MARK,,,,
NOT TAGGED,!12855VFDA01,AK,VFDA,H,SOLOMON GULCH,1984,CROOKED CR 221-60,,CHUM,FED FRY     ,0.48,41,1985,SOLOMON GULCH 221-60,6/1/1985,0,2146017,,2,NO MARK,,,,
