Year,Estimate,StdError
1978,38.5,26.8
1979,51.3,29.5
1980,52,12.2
1983,52.8,8.6
1984,73.3,11.3
1985,71.1,12.2
1986,66.9,8.1
1987,62.7,7.7
1988,84.3,13.7
1989,95.9,11.5
1990,96.7,9.7
1991,91.6,8.3
1992,117,10.3
1993,124.6,13.3
1994,120.9,10.2
1995,125,11.4
1996,156.9,14.7
1997,154.1,12.4
1998,147.9,11.4
1999,148.8,10.2
2000,139.5,9.9
2001,141.8,10.3
2002,144.2,10
2003,135.2,9.9
2004,131.7,10.8
2005,124.7,9.6
2006,118.7,9.4
2007,143.3,11.4
2008,134.3,11.2
2009,193.9,17.4
