"","year","pink.sst","chum.sst","sock.sst","chin.sst","coho.sst","win.sst","win3","pink.sst.l1","chum.sst.l1","sock.sst.l2","chin.sst.l2","coho.sst.l3"
"1",1950,7.44851854112413,11.2077778710259,NA,9.22083334128062,10.4216667016347,NA,NA,7.90222220950657,12.1544444825914,6.86574079372265,9.93166673183441,12.6377778583103
"2",1951,7.90222220950657,12.1544444825914,6.84777779049343,10.0541667143504,11.4066666762034,4.80141668915749,NA,7.788148244222,11.6488890118069,7.07888892844871,10.5150000254313,13.0577777226766
"3",1952,7.788148244222,11.6488890118069,6.86574079372265,9.93166673183441,11.0233334700267,5.01066667040189,4.93900000982814,8.26962967272158,12.6377778583103,7.27166666807952,10.6049998998642,11.8055556615194
"4",1953,8.26962967272158,12.6377778583103,7.07888892844871,10.5150000254313,11.8475000858307,5.00491666992505,4.98019444942474,8.27999996255945,13.0577777226766,6.91555558310615,9.95333337783813,12.3944442537096
"5",1954,8.27999996255945,13.0577777226766,7.27166666807952,10.6049998998642,12.222499926885,4.92500000794729,5.10647222333484,8.02925929316768,11.8055556615194,7.01777774316293,10.5058332284292,13.2644443511963
"6",1955,8.02925929316768,11.8055556615194,6.91555558310615,9.95333337783813,11.0575000445048,5.38949999213219,5.02716666327582,8.25259252830788,12.3944442537096,7.67814811953792,11.1533332268397,12.5266666412354
"7",1956,8.25259252830788,12.3944442537096,7.01777774316293,10.5058332284292,11.6908331712087,4.766999989748,4.97199999756283,8.56222219820376,13.2644443511963,7.41851854324341,10.8191666603088,12.4866666793823
"8",1957,8.56222219820376,13.2644443511963,7.67814811953792,11.1533332268397,12.5233332316081,4.75950001080831,5.22624999615881,8.76666664194178,12.5266666412354,7.4166666843273,10.7558333873749,12.2088889016045
"9",1958,8.76666664194178,12.5266666412354,7.41851854324341,10.8191666603088,11.9541666507721,6.15224998792013,5.47069445119964,8.52814819194652,12.4866666793823,7.15925929281447,10.500833272934,12.5477778116862
"10",1959,8.52814819194652,12.4866666793823,7.4166666843273,10.7558333873749,11.9491666952769,5.50033335487048,5.72894444730547,8.2340740804319,12.2088889016045,7.17796295660513,11.1158332427343,12.5355556276109
"11",1960,8.2340740804319,12.2088889016045,7.15925929281447,10.500833272934,11.6066666444143,5.5342499991258,5.41588889890247,8.55592593440303,12.5477778116862,7.14925926702994,10.5816666682561,12.5355555216471
"12",1961,8.55592593440303,12.5477778116862,7.17796295660513,11.1158332427343,11.9950000445048,5.21308334271113,5.26697221795718,8.21518516540527,12.5355556276109,7.38944444832978,10.4841665824254,11.7055557039049
"13",1962,8.21518516540527,12.5355556276109,7.14925926702994,10.5816666682561,11.8016666571299,5.05358331203461,5.2393055525091,8.36629627369068,12.5355555216471,6.84537042511834,9.93166673183441,11.5211111704508
"14",1963,8.36629627369068,12.5355555216471,7.38944444832978,10.4841665824254,11.7949999173482,5.45125000278155,5.39927777780427,8.11925928680985,11.7055557039049,6.73351853865164,9.20250002543131,11.6288889778985
"15",1964,8.11925928680985,11.7055557039049,6.84537042511834,9.93166673183441,11.175833384196,5.69300001859665,5.27197223173247,7.39000004309195,11.5211111704508,6.65685187445747,9.68083341916402,12.6044442918566
"16",1965,7.39000004309195,11.5211111704508,6.73351853865164,9.20250002543131,10.7050000826518,4.67166667381922,5.16758333510823,7.68777781945688,11.6288889778985,7.17537032233344,10.7858331998189,12.8488891389635
"17",1966,7.68777781945688,11.6288889778985,6.65685187445747,9.68083341916402,10.9375000794729,5.13808331290881,4.94180555144946,8.31296288525617,12.6044442918566,6.94500003479145,10.8725001017253,11.8277776506212
"18",1967,8.31296288525617,12.6044442918566,7.17537032233344,10.7858331998189,11.9058331648509,5.01566666762034,5.11966665188471,8.40518524028637,12.8488891389635,6.89925920963287,9.83999995390574,11.4422220653958
"19",1968,8.40518524028637,12.8488891389635,6.94500003479145,10.8725001017253,12.2250001430511,5.205249975125,4.90597221453985,7.60518512902436,11.8277776506212,6.80277774069044,9.699999888738,11.0533332824707
"20",1969,7.60518512902436,11.8277776506212,6.89925920963287,9.83999995390574,11.1174999078115,4.4970000008742,5.09186110165384,7.92814807538633,11.4422220653958,6.28574073314667,9.05583337942759,11.2000000211928
"21",1970,7.92814807538633,11.4422220653958,6.80277774069044,9.699999888738,10.8141664663951,5.57333332896233,5.02433333264457,7.21259258411549,11.0533332824707,6.2129629585478,9.20750002066294,11.0977777904934
"22",1971,7.21259258411549,11.0533332824707,6.28574073314667,9.05583337942759,10.2666666507721,5.00266666809718,4.93202777504921,7.13222221974973,11.2000000211928,6.38574074374305,9.39083333810171,12.6144444147746
"23",1972,7.13222221974973,11.2000000211928,6.2129629585478,9.20750002066294,10.3850000301997,4.22008332808812,4.66691667503781,7.30999999576145,11.0977777904934,6.7925925872944,10.3458333015442,11.191111140781
"24",1973,7.30999999576145,11.0977777904934,6.38574074374305,9.39083333810171,10.5366667111715,4.77800002892812,4.58061111966769,8.06037035694829,12.6144444147746,6.39518516151993,9.05916663010915,11.9077777862549
"25",1974,8.06037035694829,12.6144444147746,6.7925925872944,10.3458333015442,11.7516666253408,4.74375000198682,4.83858334620794,7.28407405923914,11.191111140781,6.7396296483499,9.83833340803782,12.9299999872843
"26",1975,7.28407405923914,11.191111140781,6.39518516151993,9.05916663010915,10.3308333555857,4.99400000770887,4.77291666203075,7.6759259612472,11.9077777862549,7.18185181970949,10.7666666507721,11.7966666751438
