BroodYearReturn,CopperSockeye,CoghillSockeye,EshamySockeye,PWSPink,CopperChinook,PWSherring
1961,1455173.01,35,,"6,651,118",,
1962,763023.2982,54522,,6048576,,
1963,627800.6418,63949,5142,3436427,,
1964,1181525.332,163132,275975,4122588,,
1965,1783279.8,77666,62486,3468600,,
1966,1487832.121,86158.26969,568,3608678,,
1967,869585.9647,153334.0734,9952,5233149,,
1968,839878.5879,137509.6349,83749,3789216,,
1969,917979.9297,91750.19136,32435,8423514,,
1970,504862.28,220868,11690,695963,,
1971,1087952.345,46728,6667,8535974,,
1972,1040520.423,218570,59976,1012903,,
1973,458859.4585,233690,34411,3322438,,
1974,661026.3802,110824.7026,15946,1161051,,
1975,587735.2365,191530.4687,31355,5816401,,
1976,1169323.305,173530.8657,178061,3925083,,
1977,1868220.635,1251048.288,38453,17335503,,
1978,1474593.675,70303.4765,36904,14013916,,
1979,2054910.808,150406.907,39724,19568866,,
1980,1471160.207,473655.808,270623,16794317,31560.94856,55583
1981,1114222.514,496238.2592,30841,11567348,54616.96792,55230
1982,1898723.267,612158.891,54208.40295,21201513,34766.70845,49795
1983,961697.0092,106297.095,51112.19725,19938105,30849.06547,59473
1984,1661253.934,203086.296,117133,5563957,21826.64102,69416
1985,1109875.359,16597.68278,58138,13066944,21510.45392,85587
1986,1928337.745,26917.98305,39946,1766936,67560.46639,74508
1987,1736152.518,60053.11876,60196,4743750,27548.45428,85712
1988,1751544.206,50494.77626,93876,12923662,72769.69093,110450
1989,1977067.132,9410,70390,7544776,69641.0834,108683
1990,1678723.218,26127,58447,1405383,97679.96868,83651
1991,2909277.304,153809,23929.749,1542942,78719.23703,67474
1992,3169831.644,114128,24570.8944,4666639,92788.3278,66730
1993,2267769.774,67500.983,64449.06935,3934208,106430.3563,34039
1994,1873139.793,27941,54700.44025,4500085,79051.47892,18454
1995,1349676.514,317407,27850.75608,2588682,76293.20357,14076
1996,1902697.865,133377,65804,5274276,76990.74514,14411
1997,1574119.057,44736,64513,9405198,84461.23789,22870
1998,1898474.031,89490,91903,7389941,96482.08221,18242
1999,1592295.47,234831,40521,8854677,76599.87752,13526
2000,2297600.611,143849,51753,1264645,63817.57889,11142
2001,2217417.901,15616,50750,7344512,98778.10517,7969
2002,2883324.798,180332,62834,4939431,86651.52279,10704
2003,1269199.481,102397,20147,17032488,48143.16844,14014
2004,1207819.321,154110,53472,3314703,38721.76801,16842
2005,1275444.915,35754,41611,11526988,32648.04291,13385
2006,2417220.454,164495,62674,2290692,53243.20144,11556
2007,3016990.76,649042,27655,2824331,47436.50055,13640
2008,2265963.276,71784,,4399391,,18364
2009,2640105.488,120904,,9643099,,19470
2010,,21034,,4428268,,20507
,,,,,,17639
